"name","value"
"eta",0.0001304631
"rho",0.85
"a0",2920
"s2",1.67
"rA",0.005
"rT",0.2
"rD",0.2
"rU",0.009090909
"rP",0.04
"dE",12
"tl",12.5
"cD",0.068
"cT",0.02176
"cU",0.0062
"g_inf",1.82
"d1",0.161
"dd",3650
"ID0",1.58
"kd",0.477
"ud",9.45
"ad0",7993.5
"fd0",0.0071
"gd",4.81
"aA",0.757
"aU",0.186
"b0",0.59
"b1",0.5
"db",3650
"IB0",43.9
"kb",2.16
"ub",7.2
"phi0",0.792
"phi1",0.00074
"dc",10950
"IC0",18
"kc",2.37
"uc",6.06
"PM",0.774
"dm",67.7
"tau",10
"mu",0.132
"f",0.33333333
"Q0",0.92
"cd_w",0.723
"cd_p",0.342
"uv",11.4321
"dv",10950
"dvm",76.8365
"fv0",0.141195
"av",2493.41
"gammav",2.91282
"theta0",0.0749886
"theta1",0.0001191
"IV0",1.09629
"kv",2.00048
"PVM",0.195768
